,StockV9j,CryptoV3,CryptoV2,HybridV3_Best
2021-10-13,8.320781328961498,2196.30993918189,2702.38702987472,29.100817147366193
2021-10-14,8.37497815996826,2282.2590125153397,2813.3586380795577,29.48021684581725
2021-10-15,8.368732639981738,2345.2481424713733,2897.445807917514,29.62535693464239
2021-10-18,8.41814081398297,2311.6424673529323,2854.1205521359484,29.68037918799821
2021-10-19,8.421872684352142,2364.9439077787783,2922.911280663836,29.82777832358954
2021-10-20,8.456062977012639,2510.154046165997,3110.4787838215766,30.290943466628484
2021-10-21,8.454826458195072,2464.0389240237255,3050.474393456841,30.176102346949918
2021-10-22,8.488199740706085,2383.58220442368,2944.644700471323,30.074328080041784
2021-10-25,8.493203923516036,2508.8568054421635,3106.48104086807,30.404637221620867
2021-10-26,8.501673258813293,2488.49029493917,3081.145663200508,30.379528547939277
2021-10-27,8.4167803509284,2384.853232166612,2945.647374712481,29.88380571808919
2021-10-28,8.499231188422181,2508.9040452505064,3106.969681002129,30.42888721695162
2021-10-29,8.560255042273429,2592.6762833011835,3217.562644731229,30.806872895771438
2021-11-01,8.576620443345469,2536.301098284254,3143.033603059074,30.72001688264219
2021-11-02,8.618921276478847,2650.7195490199565,3292.641272417814,31.118398782440995
2021-11-03,8.6200759618081,2664.5728162485416,3312.1960896294304,31.154260327623067
2021-11-04,8.643376366412225,2618.013381177804,3249.297280263888,31.11275443618871
2021-11-05,8.731916480510407,2606.07616065072,3231.4678906993836,31.33934945378022
2021-11-08,8.742391490180028,2786.186170217699,3465.9431570791958,31.802608098183352
2021-11-09,8.7645198494833,2786.132553738925,3464.9739690016413,31.866883595824543
2021-11-10,8.608362291219883,2718.6365602490114,3374.63431987659,31.25826599795651
2021-11-11,8.657077284554529,2762.8161474625754,3431.365607235011,31.501372580258593
2021-11-12,8.704528476175678,2705.6344611158393,3356.266932413976,31.509108842876604
2021-11-15,8.716967775062079,2681.633974022922,3325.201425277623,31.4892309094895
2021-11-16,8.722416636260487,2516.153376860824,3110.4733115327967,31.11634475143288
2021-11-17,8.696414058955815,2500.540956655449,3088.661576267623,31.00352087300182
2021-11-18,8.707160006090117,2355.8855988209625,2901.101246207277,30.675460695560194
2021-11-19,8.656722978488087,2493.8093829171553,3081.0509460431626,30.892483310106446
2021-11-22,8.610329477217523,2411.3556083544813,2977.4551204314675,30.555752994197082
2021-11-23,8.639701472823253,2505.6542598982733,3101.37583882792,30.878122779445125
2021-11-24,8.68019695559095,2464.4861593350033,3047.89422441891,30.892440818223804
2021-11-26,8.560937135718959,2360.0957741715424,2912.25622590186,30.291180836982072
2021-11-29,8.655075829190613,2553.5448812337168,3163.7389266660466,31.054226965547297
2021-11-30,8.507808162048242,2626.2758487627625,3259.7116044901227,30.8084118664305
2021-12-01,8.35583018817552,2587.8184565800025,3208.782166554883,30.277911182391495
2021-12-02,8.448412374648694,2577.816328728414,3196.662294469119,30.52288807712966
2021-12-03,8.348952743301396,2403.118369373597,2967.208072494347,29.821715825615012
2021-12-06,8.354035018378198,2423.894485626237,2994.595430860219,29.887803193460453
2021-12-07,8.547469345378492,2432.498129871932,2949.143283236548,30.46265268806381
2021-12-08,8.545518444734798,2433.8105501805976,3007.399649519881,30.460377516119426
2021-12-09,8.418779805909148,2418.9364533490566,2858.9933429336133,30.061739694629253
2021-12-10,8.53952372116616,2429.1441668608986,2751.9743801308628,30.432032757888713
2021-12-13,8.364468635069894,2435.2687949680035,2661.2486466551,29.948307827795627
2021-12-14,8.332734634576942,2412.52017628447,2706.2034092750596,29.801459667157005
2021-12-15,8.412630518098062,2422.873714275053,2794.6041197848563,30.055632535300013
2021-12-16,8.329975346207698,2452.184434501913,2782.417461362872,29.892111801695105
2021-12-17,8.279518929406025,2446.934753267252,2704.6119896960286,29.734462827447764
2021-12-20,8.203807727624724,2436.581215276669,2707.765789581684,29.49177720307831
2021-12-21,8.42032169434689,2435.560443925485,2817.4480355099545,30.111981091904447
2021-12-22,8.495489489742388,2458.4548870877584,2799.5732569999896,30.383638582031246
2021-12-23,8.527469832780817,2463.9962172799014,2875.8812336631613,30.48883617250764
2021-12-27,8.69229207201833,2469.8291964295254,2864.3992243123757,30.97471134613948
2021-12-28,8.675136069212654,2459.1840094814615,2683.3365544217113,30.899102681155284
2021-12-29,8.632022725526783,2458.454887087759,2633.0141860760123,30.77442153078327
2021-12-30,8.590566694527821,2476.0996490153716,2620.176442988762,30.700358771598648
2021-12-31,8.584491119079015,2493.0152885492807,2596.2679928677076,30.72493511144493
2022-01-03,8.602175956307407,2454.663450640503,2629.4416183589838,30.681039321660023
2022-01-04,8.73860597171219,2472.745686004337,2659.629975319769,31.11552120330469
2022-01-05,8.53862918596823,2465.308637588567,2474.823657917706,30.52715928126988
2022-01-06,8.612905775071072,2435.122970489263,2419.0827360033227,30.664845213955303
2022-01-07,8.483452184923877,2446.2056308735487,2269.258057801861,30.324038700496573
2022-01-10,8.437978367330038,2453.6426792893194,2210.8804292406667,30.212440495548275
2022-01-11,8.551192949684708,2483.245048473661,2314.5936394623377,30.609635700324525
2022-01-12,8.579449498893753,2489.807150016988,2399.201925496503,30.706730352244918
2022-01-13,8.503885527946345,2481.3493302500333,2320.9290946379097,30.469507369273902
2022-01-14,8.510481941527019,2474.203930791744,2364.445629427996,30.47086712340498
2022-01-18,8.388242926487873,2470.120845387007,2284.9499111305745,30.110679200603744
2022-01-19,8.228744515144008,2509.3476301682285,2250.5098165546206,29.74828171859241
2022-01-20,8.066269521861853,2503.077177582383,2203.9016031638594,29.263515167157582
2022-01-21,7.931365401462229,2494.9110067729093,1863.8140429422444,28.85288746572248
2022-01-24,8.01867160476476,2508.6185077745254,1799.2585021635118,29.138675552779894
2022-01-25,8.012663143045268,2516.6388541052584,1818.232719409152,29.1398404081763
2022-01-26,8.00587609077021,2475.9538245366307,1815.1126423257263,29.025876948165465
2022-01-27,7.931800820279429,2444.0182636924396,1789.4261597148381,28.7361479777545
2022-01-28,8.05630222692913,2436.72703975541,1871.7693670514493,29.079847558014134
2022-01-31,8.24512229337251,2451.1636631507295,1969.5459757553635,29.659553364463804
2022-02-01,8.342191408753843,2445.8455902355386,1965.2728261218444,29.926026918719234
2022-02-02,8.46526779954308,2454.7141975591057,1972.398882258885,30.300939739974588
2022-02-03,8.436211659587373,2451.2249094318004,1969.5951880410328,30.209121573413395
2022-02-04,8.43833136855381,2455.004971569714,1972.6325234437058,30.224511091018215
2022-02-07,8.471865914664596,2473.178347232761,1987.2350974950182,30.36535050986021
2022-02-08,8.496472203502767,2480.7384715085886,1993.309768300364,30.4544711711924
2022-02-09,8.563527028290467,2489.1709178162428,2000.0853626601734,30.667454402074483
2022-02-10,8.463149647312353,2479.720762471458,1992.4920241534908,30.356593709390324
2022-02-11,8.466214471530826,2526.9715391953805,2030.4587166869032,30.481076557417474
2022-02-14,8.31651902800677,2540.4925306886876,2041.3230317810796,30.08253426296313
2022-02-15,8.393998015299207,2516.3582878081606,2021.9308134409366,30.24958423631173
2022-02-16,8.473600044389501,2542.23717475234,2042.7248788900056,30.541293643171407
2022-02-17,8.402356535721179,2576.9846690200857,2070.6450004761145,30.419356105897545
2022-02-18,8.341121606309526,2575.094637951129,2069.126332774778,30.237541199602923
2022-02-22,8.236127648792985,2580.4739571473906,2073.4486946939664,29.94568201981779
2022-02-23,8.173658543230559,2592.1049175717403,2082.794342086806,29.790972025441764
2022-02-24,8.111448993418307,2575.385411961737,2069.3599739595984,29.571149897371
2022-02-25,8.34688308133885,2566.8075786487793,2062.4675590073794,30.238091381522445
2022-02-28,8.418690372278327,2593.41340061948,2083.8457274185007,30.50888487820015
2022-03-01,8.490212976880123,2640.5187903380984,2121.695599359503,30.827069612215745
2022-03-02,8.59306397694855,2613.0406463355707,2099.6165073939183,31.06166312459335
2022-03-03,8.718235522531279,2628.5970559031393,2112.116310781842,31.460617203984985
2022-03-04,9.00083694064119,2670.4685134308,2145.760641396066,32.37668190632642
2022-03-07,9.061489827762632,2710.1591658788952,2177.6526631241327,32.64746193505553
2022-03-08,8.960747863524285,2784.3065385841273,2237.2311652534877,32.53573364634822
